stage,task_id,source_count,memory_particles,seed,epsilon,exponent_s,gamma,transport_time,steps,finite,hard_pass,radius_ratio,radial_cdf_gap,radius_cv,expected_radius_cv,radial_zone_rmse,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,uniformity_score,runtime_seconds,error
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,3.5,7000,1,1,0.414560892145579,0.25641776256018756,0.17471432247355778,0.20412414523193154,0.10333784852366532,0.0,0.0005771861212547398,0.00589240953033714,0.9516219111472269,0.26288735821177944,123.77219029999833,
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,4.0,8000,1,1,0.4144951513604433,0.28225242861143396,0.17435841289892948,0.20412414523193154,0.11884453473971783,0.0,0.0005728158506479663,0.003462765077431921,0.9720778571000289,0.28628800953951383,123.77219029999833,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,1.5,3000,1,1,0.442726477567779,0.08750000000000002,0.21498777120825113,0.20412414523193154,0.027762419799523964,0.0890625,0.0022037091612483973,0.05666408653331002,0.632059838890161,0.14636779569455843,123.78816340000049,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,2.0,4000,1,1,0.4323868729050201,0.08076208462162826,0.19623617024048673,0.20412414523193154,0.03274919488514183,0.0203125,0.00042966562183507375,0.028601116469758315,0.7875309219957755,0.10979286671322165,123.78816340000049,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,2.5,5000,1,1,0.4302774974640412,0.15126468877100052,0.19124468936239516,0.20412414523193154,0.05578365716094634,0.0,0.0005727542245024306,0.014651053290199993,0.8833648719948847,0.16648849628570295,123.78816340000049,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,3.0,6000,1,1,0.4297921359904089,0.20020623063964238,0.1898389521996409,0.20412414523193154,0.07645081139203168,0.0,0.0006570050858635549,0.007679881965558697,0.9366926112701663,0.20854311769106462,123.78816340000049,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,3.5,7000,1,1,0.429652842677474,0.22626458776287173,0.18938244871407062,0.20412414523193154,0.09330100816711467,0.0,0.0007163206271338714,0.004188624972623851,0.9652852174438774,0.23116953336262944,123.78816340000049,
potential,potential_C64_seed50_eps0.03_s2.5_g0.0005,64,640,50,0.03,2.5,0.0005,4.0,8000,1,1,0.4295992706144094,0.24608028894665956,0.18920855804226763,0.20412414523193154,0.11085384169594666,0.0,0.0007649129770231335,0.002481646565309026,0.9804271655095986,0.24932684848899173,123.78816340000049,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,1.5,3000,1,1,0.43318041053963674,0.08635548401952509,0.22433792022215698,0.20412414523193154,0.02601926119483411,0.0859375,0.00728386820049165,0.06368531005747174,0.5921028846687906,0.15732466227748848,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,2.0,4000,1,1,0.4209101949675872,0.0798860891396973,0.19904042974882444,0.20412414523193154,0.03163435508865323,0.0359375,0.002162247772433818,0.03335201596930363,0.7603802995282625,0.11540035288143474,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,2.5,5000,1,1,0.4182877420122935,0.1426356364316118,0.19228139296386612,0.20412414523193154,0.053095120273665454,0.0015625,0.0009573545338059195,0.017286340426364878,0.8671320060960783,0.1608793313917826,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,3.0,6000,1,1,0.4176792503031915,0.18965929092164524,0.19038240597039655,0.20412414523193154,0.07313768586542782,0.0,0.0007183901943238335,0.009006941928406183,0.9275329561065424,0.19938462304437524,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,3.5,7000,1,1,0.417510403772985,0.2236489137923663,0.18976436748860478,0.20412414523193154,0.08998697822462982,0.0,0.0007030270049167981,0.004766237135245599,0.9602647079411741,0.2291181779325287,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s2.5_g0.0005,64,640,42,0.03,2.5,0.0005,4.0,8000,1,1,0.41744974408649776,0.24416193323448931,0.18951486828789313,0.20412414523193154,0.10198948705013669,0.0,0.0007246625026820798,0.002640664042533506,0.9777237135818319,0.2475272597797049,124.07294460000048,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,1.5,3000,1,1,0.44669988907110875,0.08010033923957816,0.22444664350113686,0.20412414523193154,0.024645930191412944,0.08125,0.005943912038449094,0.056568235106313404,0.6269180043863426,0.14261248638434065,123.94288189999861,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,2.0,4000,1,1,0.4365710065667694,0.0690304714771992,0.20591854360321862,0.20412414523193154,0.031665210355767415,0.0296875,0.0017147654968555548,0.028343114970789885,0.7919223522037505,0.09908835194484464,123.94288189999861,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,2.5,5000,1,1,0.43455314239879655,0.12320262567867857,0.20166754470601114,0.20412414523193154,0.05331308616324889,0.0,0.0008549240533743019,0.014059962313238831,0.8896080384730152,0.13811751204529168,123.94288189999861,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,3.0,6000,1,1,0.4340886245403163,0.1674252998035286,0.200547236572472,0.20412414523193154,0.07236922472639871,0.0,0.0007804390787550853,0.007174003106119661,0.9415916090541541,0.17537974198840334,123.94288189999861,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,3.5,7000,1,1,0.43394624145389765,0.1972494836145553,0.20015702100748978,0.20412414523193154,0.08576402946457215,0.0,0.0007977431211289455,0.0039150381131474055,0.9682295323397662,0.20196226484883167,123.94288189999861,
potential,potential_C64_seed42_eps0.03_s3_g0.0005,64,640,42,0.03,3.0,0.0005,4.0,8000,1,1,0.43388310064144586,0.21220044185803366,0.19996511184348592,0.20412414523193154,0.09261025945460903,0.0,0.0008174488518899128,0.0024002405861157125,0.9817757574756419,0.2154181312960393,123.94288189999861,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,1.5,3000,1,1,0.4568518765755859,0.08281249999999996,0.21726473851544376,0.20412414523193154,0.028098946265829972,0.084375,0.0013294207778613767,0.048464181989922084,0.6695960405183572,0.1326061027677834,124.56198059999952,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,2.0,4000,1,1,0.448623380332383,0.07115798473960089,0.20425987841815477,0.20412414523193154,0.03020114857087392,0.0125,0.0005279445239792039,0.023681906716770548,0.8198135847729192,0.09536783598035065,124.56198059999952,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,2.5,5000,1,1,0.44706151767006375,0.1329769202116704,0.20129433009521727,0.20412414523193154,0.05658321443900125,0.0,0.0007271364389546957,0.011871905565678032,0.9053327588565421,0.14557596221630312,124.56198059999952,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,3.0,6000,1,1,0.4466950681481071,0.17227914929871213,0.2004913001172432,0.20412414523193154,0.0732077523217316,0.0,0.0008289456603496177,0.006244348375078103,0.9499339461254799,0.17935244333413983,124.56198059999952,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,3.5,7000,1,1,0.4465737657632928,0.2007258225944426,0.20019459653818317,0.20412414523193154,0.09087787994061042,0.0,0.0008997699509386405,0.0035917879327617076,0.9725885917282253,0.20521738047814295,124.56198059999952,
potential,potential_C64_seed50_eps0.03_s3_g0.0005,64,640,50,0.03,3.0,0.0005,4.0,8000,1,1,0.44651519341913354,0.2110399902336929,0.20003756798844305,0.20412414523193154,0.09342913842185424,0.0,0.0009541293175907794,0.002383041687560531,0.9840867120270297,0.21437716123884423,124.56198059999952,
potential,potential_C64_seed42_eps0.1_s1_g0.0005,64,640,42,0.1,1.0,0.0005,1.5,3000,1,1,0.39162327743163255,0.12093683267825672,0.2517235765496775,0.20412414523193154,0.0377853725004796,0.121875,0.02193272619933079,0.12322498427201958,0.4280829220855769,0.2660945431496071,131.81757970000035,
