stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,6,9.628524542e-04,4.592845667e-04,4.710204688e-04,4.288844360e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,7,9.866255368e-04,4.706244245e-04,4.710204688e-04,4.491961063e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,8.464524723e-04,4.037612983e-04,4.056194031e-04,3.998189258e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,1,8.408602904e-04,4.010938046e-04,4.056194031e-04,4.721105827e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,2,8.375126765e-04,3.994969791e-04,4.056194031e-04,4.721728877e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,3,8.544544235e-04,4.075782618e-04,4.056194031e-04,4.646512945e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,4,8.619160263e-04,4.111374769e-04,4.056194031e-04,6.359771472e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,8.630089615e-04,4.116588115e-04,4.056194031e-04,8.258197759e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,6,8.572264883e-04,4.089005481e-04,4.056194031e-04,3.938945230e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,7,8.409298015e-04,4.011269617e-04,4.056194031e-04,4.888173091e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9.292254091e-04,4.432443284e-04,4.440531458e-04,4.689930391e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.450471643e-04,4.507913704e-04,4.440531458e-04,4.902613856e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9.181561654e-04,4.379642538e-04,4.440531458e-04,4.595333502e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9.399018586e-04,4.483370385e-04,4.440531458e-04,4.360236787e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9.247970875e-04,4.411320008e-04,4.440531458e-04,4.029823634e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,9.463662774e-04,4.514205928e-04,4.440531458e-04,4.301785590e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9.088968538e-04,4.335475242e-04,4.440531458e-04,6.935780904e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9.343228370e-04,4.456758224e-04,4.440531458e-04,6.204606795e-09,1
