target,target_source_id,method,parent_source_ids,lambda,lambda_fit_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
10,837,shared_lambda,2941;627;219;3527,0.223656903;0.219819974;0.265274430;0.291248694,9.658373598e-03,8.838519835e-03,8.604929174e-03,7.235608459e-03,7.044380675e-03,8.794699805e-03,8.556781088e-03,9.735712919e-01,2.012477503e-02,1.647504279e-02,2.013452692e-02,4.275789002e-01,8.794699805e-03,8.556781088e-03,0.000000000e+00,0.000000000e+00,9.658373598e-03,7.437045420e-09,1.440756923e-02,7.155653215e-01
11,843,shared_lambda,3413;2378;3269;1189,0.376095063;0.192350064;0.180029402;0.251525472,2.602634725e-02,2.438194267e-02,2.484573349e-02,1.996015101e-02,2.033983096e-02,2.439801703e-02,2.486490763e-02,1.019021898e+00,2.458008878e-02,2.012236230e-02,2.472399852e-02,1.010807313e+00,2.439801703e-02,2.486490763e-02,0.000000000e+00,0.000000000e+00,2.602634725e-02,6.204438745e-09,1.223842179e-02,4.950017199e-01
12,858,shared_lambda,3629;3727;1221;2843,0.017046903;0.000000000;0.517407686;0.465545411,8.610651547e-04,2.738359636e-03,1.055946274e-03,2.241743925e-03,8.644449453e-04,2.735401093e-03,1.062049814e-03,3.856127079e-01,1.078800967e-02,8.831548206e-03,1.083894935e-02,9.788147278e-02,2.735401093e-03,1.062049814e-03,0.000000000e+00,0.000000000e+00,8.610651547e-04,3.597342137e-09,9.799403982e-03,9.040916847e-01
13,877,shared_lambda,386;2894;2581;695,0.363864551;0.277033877;0.171680249;0.187421322,1.659522704e-02,1.970460523e-02,2.217895826e-02,1.613107295e-02,1.815668924e-02,1.972154425e-02,2.217851125e-02,1.125572322e+00,1.362857804e-02,1.115696479e-02,1.355526591e-02,1.627386085e+00,1.972154425e-02,2.217851125e-02,0.000000000e+00,0.000000000e+00,1.659522704e-02,6.254444879e-09,1.588893833e-02,1.172159841e+00
14,1088,shared_lambda,2671;2786;3438;1742,0.243869761;0.233097283;0.311216778;0.211816178,3.690248851e-03,4.310776710e-03,5.613865624e-03,3.528995014e-03,4.595762000e-03,4.289136119e-03,5.584647444e-03,1.302286340e+00,3.559036666e-02,2.913586922e-02,3.571698586e-02,1.577355377e-01,4.289136119e-03,5.584647444e-03,0.000000000e+00,0.000000000e+00,3.690248851e-03,2.396444239e-09,3.491810434e-02,9.776330084e-01
15,1154,shared_lambda,1993;3794;1948;3742,0.490800000;0.000000000;0.150781246;0.358418753,1.671757362e-02,1.647132466e-02,1.705280888e-02,1.348416458e-02,1.396019362e-02,1.646412161e-02,1.704277309e-02,1.035302820e+00,2.017733622e-02,1.651807173e-02,2.029330060e-02,8.451466881e-01,1.646412161e-02,1.704277309e-02,0.000000000e+00,0.000000000e+00,1.671757362e-02,5.699649960e-09,1.298936255e-02,6.400813156e-01
16,1276,shared_lambda,2648;1725;3407;3758,0.368582001;0.331956497;0.179660081;0.119801420,9.855416049e-03,8.907430230e-03,9.659545516e-03,7.292021597e-03,7.907736877e-03,8.960810245e-03,9.714265907e-03,1.084436843e+00,3.115122407e-02,2.550178815e-02,3.099284580e-02,3.100855842e-01,8.960810245e-03,9.714265907e-03,0.000000000e+00,0.000000000e+00,9.855416049e-03,6.524663680e-09,2.467029519e-02,7.959996753e-01
17,1321,shared_lambda,438;3635;3156;137,0.252502400;0.251903303;0.255058323;0.240535974,2.911297303e-03,2.285476869e-02,1.813612050e-02,1.870993795e-02,1.484704106e-02,2.280600232e-02,1.813292926e-02,7.935376966e-01,4.607224307e-02,3.771680303e-02,4.597701143e-02,3.936452687e-01,2.280600232e-02,1.813292926e-02,0.000000000e+00,0.000000000e+00,2.911297303e-03,8.277063450e-09,1.686974367e-02,3.669169253e-01
18,1369,shared_lambda,4127;3945;880;3331,0.276453076;0.235160729;0.233915074;0.254471121,6.107888530e-03,4.207483120e-03,4.665333536e-03,3.444434252e-03,3.819251122e-03,4.189711772e-03,4.646578090e-03,1.108818123e+00,1.156401170e-02,9.466818246e-03,1.149590021e-02,4.034355601e-01,4.189711772e-03,4.646578090e-03,0.000000000e+00,0.000000000e+00,6.107888530e-03,3.441703955e-09,7.529102235e-03,6.549380301e-01
19,1389,shared_lambda,758;1181;2820;2039,0.750096089;0.006751738;0.000000000;0.243152172,2.551511219e-02,2.721144418e-02,2.710334044e-02,2.227650776e-02,2.218800919e-02,2.708476839e-02,2.697513154e-02,9.960272693e-01,2.323416991e-02,1.902053279e-02,2.323060169e-02,1.166529320e+00,2.708476839e-02,2.697513154e-02,0.000000000e+00,0.000000000e+00,2.551511219e-02,7.005658411e-09,1.181915663e-02,5.087753123e-01
20,1395,shared_lambda,2250;623;2839;2852,0.250129530;0.279398663;0.244377673;0.226094134,4.990936554e-03,4.265141036e-03,3.703391148e-03,3.491635606e-03,3.031761971e-03,4.290561235e-03,3.722965131e-03,8.682927754e-01,1.115362066e-02,9.130853748e-03,1.113165743e-02,3.320348847e-01,4.290561235e-03,3.722965131e-03,0.000000000e+00,0.000000000e+00,4.990936554e-03,6.478895394e-09,1.416625047e-02,1.272609273e+00
21,1549,shared_lambda,1185;3553;2350;1362,0.408021474;0.429699769;0.056806199;0.105472558,1.715764849e-03,2.099926935e-03,2.071283843e-03,1.719094303e-03,1.695645784e-03,2.087581039e-03,2.059653436e-03,9.863599577e-01,6.226983867e-03,5.097688073e-03,6.200877764e-03,3.326303532e-01,2.087581039e-03,2.059653436e-03,0.000000000e+00,0.000000000e+00,1.715764849e-03,5.648542960e-09,8.217621269e-03,1.325235165e+00
