seed,path_index,category,permutation_frame,first_source_id,second_source_id,particle_permutation,distance_d1,distance_du,distance_d1_fixed_matching,t,lambda,terminal_step_norm,output_step_norm,step_amplification,nearest_source_identity,nearest_source_changed,pairwise_relation_change,maximum_particle_jump,particle_jumps,terminal_displacement_from_start,output_displacement_from_start,direct_displacement_from_start,max_replay_residual,replay_runtime,finite
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.13,0.87;0.13,0.022573797540187245,6.359601310784502e-17,2.8172492020727805e-15,116,0,8.650788113339964e-17,6.359601310784502e-17,0;0;0;0;6.35960131078e-17;0;0;0,0.29345936802243316,1.3871872262297111,0.934451040280019,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.14,0.86;0.14,0.0225737975401872,4.965189522502828e-16,2.199536659112631e-14,116,0,2.0557335828564925e-16,4.965189522502828e-16,0;0;0;0;0;4.9651895225e-16;0;0,0.3160331655626204,1.3871872262297111,1.0063318895323283,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.15,0.85;0.15,0.022573797540187193,1.7254006768207164,76.43378008281758,116,0,0.6133589616372381,1.7254006768207164,0;0;0;0;0;4.9651895225e-16;0;1.72540067682,0.33860696310280763,2.2138870558789274,1.0782127387846379,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.16,0.84;0.16,0.02257379754018719,0.0,0.0,116,0,0.0,0.0,0;0;0;0;0;0;0;0,0.3611807606429948,2.2138870558789274,1.1500935880369467,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.17,0.83;0.17,0.02257379754018712,3.2201702635163856,142.65079935193273,176,1,1.3194050384791787,3.2201702635163856,0;0;0;0;0;0;3.22017026352;0,0.3837545581831819,3.907786128004379,1.2219744372892558,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.18,0.82;0.18,0.02257379754018701,1.1102230246251565e-16,4.918193417162893e-15,176,0,0.0,1.1102230246251565e-16,0;0;0;0;0;0;0;1.11022302463e-16,0.40632835572336895,3.907786128004379,1.2938552865415645,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.19,0.81;0.19,0.022573797540187245,1.1102230246251565e-16,4.918193417162842e-15,176,0,0.0,1.1102230246251565e-16,0;0;0;0;0;0;0;1.11022302463e-16,0.4289021532635562,3.907786128004379,1.3657361357938735,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.2,0.8;0.2,0.022573797540187096,0.0,0.0,176,0,0.0,0.0,0;0;0;0;0;0;0;0,0.45147595080374325,3.907786128004379,1.4376169850461824,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.21,0.79;0.21,0.02257379754018721,2.064870022658685,91.47198290330554,218,1,0.9507662874270655,2.064870022658685,3.04047097224e-16;0;2.06487002266;0;0;0;0;0,0.47404974834393043,4.419782871668916,1.509497834298492,1.1051834521324987e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.22,0.78;0.22,0.022573797540187165,1.3902199536422453,61.585559592589426,176,1,0.575836832766777,1.3902199536422453,3.04047097224e-16;0;1.39021995364;0;0;0;0;0,0.49662354588411767,4.071862221193462,1.5813786835508012,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.23,0.77;0.23,0.022573797540187235,2.3618622888216767,104.62848728119171,218,1,0.9407547452702457,2.361862288821677,0;0;2.36186228882;0;0;0;0;0,0.5191973434243049,5.088051315060559,1.6532595328031103,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.24,0.76;0.24,0.022573797540187134,0.0,0.0,218,0,0.0,0.0,0;0;0;0;0;0;0;0,0.541771140964492,5.088051315060559,1.7251403820554199,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.25,0.75;0.25,0.022573797540187207,1.2872721129719396,57.02505795403993,133,1,0.3070847331422034,1.2872721129719396,0;1.57009245868e-16;0;0;0;0;1.28727211297;0,0.5643449385046791,5.641997219868207,1.797021231307729,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.26,0.74;0.26,0.022573797540187183,1.5700924586837752e-16,6.955375832925787e-15,133,0,4.1962486042515756e-17,1.5700924586837752e-16,0;1.57009245868e-16;0;0;0;0;0;0,0.5869187360448663,5.641997219868207,1.8689020805600383,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.27,0.73;0.27,0.022573797540187124,0.1783199357737386,7.899421240767469,133,0,0.06498880222112491,0.17831993577373864,0.178319935774;0;0;0;0;0;0;0,0.6094925335850535,5.644814490175468,1.9407829298123473,1.3530598969904004e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.28,0.72;0.28,0.02257379754018717,0.0,0.0,133,0,0.0,0.0,0;0;0;0;0;0;0;0,0.6320663311252407,5.644814490175468,2.0126637790646567,1.3530598969904004e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.29,0.71;0.29,0.022573797540187214,2.482534153247273e-16,1.099741480726811e-14,133,0,7.867966132971705e-17,2.482534153247273e-16,0;0;2.48253415325e-16;0;0;0;0;0,0.6546401286654279,5.644814490175468,2.0845446283169657,1.3530598969904004e-05,13.992264002227703,1
