stage,forward_id,layout,source_count,seed,epsilon,exponent_s,gamma,tau,steps,beta,proximal_steps,vertex_sources,particle_count,particle_median_relative_rmse,particle_p90_relative_rmse,particle_p95_relative_rmse,particle_max_relative_rmse,source_relative_rmse,source_max_relative_rmse,max_replay_residual,forward_seconds,replay_seconds,gate_pass,error
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.025,100,1,8,0.028507979580751516,0.03317527391151543,0.035767949445396886,0.03836062497927835,2.772253231e-02,0.02772253230507851,6.32712469902849e-05,377.00082439999824,137.30193969999527,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.025,200,1,8,0.002212196660470311,0.002440396986093291,0.002533080972706295,0.0026257649593192994,2.163713991e-03,0.00216371399065415,4.903949951016146e-06,377.00082439999824,242.1924102999983,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.05,25,1,8,0.18211233181148517,0.246763195263941,0.24798762107185923,0.24921204687977744,1.964773358e-01,0.19647733577429263,0.0001971523113325878,377.00082439999824,21.130108299999847,0,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.05,50,1,8,0.026904486722858577,0.031190734237785626,0.03359126979797302,0.03599180535816042,2.615017612e-02,0.026150176116423385,6.132262906778398e-05,377.00082439999824,38.62359930000093,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.05,100,1,8,0.0021213470787949727,0.002341054410993042,0.002429673391092405,0.0025182923711917675,2.075344819e-03,0.002075344819017978,4.588717850141566e-06,377.00082439999824,105.25850729999365,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.05,200,1,8,0.0008102266985347454,0.000907664655850479,0.0009384010718153585,0.0009691374877802381,7.997624027e-04,0.0007997624027193687,2.671654680738272e-08,377.00082439999824,281.26567459999933,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.1,25,1,8,0.023872130416823678,0.027500804804995272,0.02953185652944029,0.03156290825388531,2.322001522e-02,0.023220015217272037,5.751256831148597e-05,377.00082439999824,38.55974830000196,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.1,50,1,8,0.0019486593935928616,0.0021522380800257862,0.0022331575384378624,0.0023140769968499385,1.907363454e-03,0.0019073634535653557,3.9890336143501274e-06,377.00082439999824,74.72672869999951,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.1,100,1,8,0.0008083612368899253,0.000905624764791265,0.000936279319831664,0.0009669338748720631,7.979472316e-04,0.0007979472315986263,2.0219328268031462e-08,377.00082439999824,147.24574469999789,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.1,200,1,8,0.0008025543538931479,0.0008992766907794088,0.000929676111548822,0.0009600755323182352,7.922978670e-04,0.0007922978669634856,5.245821269388164e-13,377.00082439999824,286.89204909999535,1,
